Official name of position,internal disk name,internal naming per Disk,Module,flex cable,HubID,PC position phi,PC position Mirror,PC connection,PC identifier,PC name,DCDC,Filterboard DCS,Filterboard power,POH board,POH Bundle,POH SN,DOH bundle,DOH QR,DOH A/B,PP0 Adapter/FED,PP0 Ad.Slot/FED,PP0 Adapter/FEC,PP0 Ad.Slot/FEC,internal POH no,POH fiber color,FED channel,FED position,FED receiver,FED crate,FED ID,,,,,,
FPix_BmI_D1_BLD2_PNL2_RNG2,,2T,M-M-3-42,8026,8,1Ta,1TA,3,,,,,,,2,,8,,,-z up left 3,2,-z up left 2,2,2,orange-2,27/28,1,b,down center,1294,,,,,,
FPix_BmI_D1_BLD3_PNL2_RNG2,,3T,M-M-4-03,8044,7,1Ta,1TA,5,,,,,,,3,,8,,,-z up left 3,3,-z up left 2,2,3,orange-2,3/4,2,a,down center,1295,,,,,,
FPix_BmI_D1_BLD4_PNL2_RNG2,,4T,M-K-3-33,8013,6,1Ta,1TA,7,,,,,,,4,,8,,,-z up left 3,4,-z up left 2,2,4,orange-2,27/28,2,b,down center,1295,,,,,,
FPix_BmI_D1_BLD5_PNL2_RNG2,,5T,M-K-2-20,8033,11,1Tb,1TB,1,,,,,,,4,,8,,,-z up left 3,4,-z up left 2,2,4,brown-4,31/32,2,b,down center,1295,,,,,,
FPix_BmI_D1_BLD6_PNL2_RNG2,,6T,M-K-2-22,8029,10,1Tb,1TB,3,,,,,,,5,,8,,,-z up left 4,1,-z up left 2,2,5,brown-4,7/8,3,a,down center,1296,,,,,,
FPix_BmI_D1_BLD7_PNL2_RNG2,,7T,M-L-2-12,8032,9,1Tb,1TB,4,,,,,,,6,,8,,,-z up left 4,2,-z up left 2,2,6,orange-2,27/28,3,b,down center,1296,,,,,,
FPix_BmI_D1_BLD8_PNL2_RNG2,,8T,M-M-1-01,8065,8,1Tb,1TB,5,,,,,,,6,,8,,,-z up left 4,2,-z up left 2,2,6,brown-4,31/32,3,b,down center,1296,,,,,,
FPix_BmI_D1_BLD9_PNL2_RNG2,,9T,M-L-4-03,8057,7,1Tb,1TB,7,,,,,,,7,,8,,,-z up left 4,3,-z up left 2,2,7,brown-4,7/8,4,a,down center,1297,,,,,,
FPix_BmI_D1_BLD10_PNL2_RNG2,,10T,M-M-1-19,8054,9,1Tc,1TC,1,,,,,,,12,,14,,,-z down left 4,4,-z down left 2,2,8,orange-2,27/28,4,b,down center,1297,,,,,,
FPix_BmI_D1_BLD11_PNL2_RNG2,,11T,M-L-1-10,8060,8,1Tc,1TC,3,,,,,,,13,,14,,,-z down left 4,3,-z down left 2,2,9,orange-2,3/4,5,a,down center,1298,,,,,,
FPix_BmI_D1_BLD12_PNL2_RNG2,,12T,M-L-1-06,8067,7,1Tc,1TC,5,,,,,,,18,,14,,,-z down left 4,2,-z down left 2,2,10,orange-2,27/28,5,b,down center,1298,,,,,,
FPix_BmI_D1_BLD13_PNL2_RNG2,,13T,M-Y-Q-NE,8062,6,1Tc,1TC,7,,,,,,,19,,14,,,-z down left 4,1,-z down left 2,2,11,orange-2,3/4,6,a,down center,1299,,,,,,
FPix_BmI_D1_BLD14_PNL2_RNG2,,14T,M-M-1-42,8008,9,1Td,1TD,1,,,,,,,19,,14,,,-z down left 4,1,-z down left 2,2,11,brown-4,7/8,6,a,down center,1299,,,,,,
FPix_BmI_D1_BLD15_PNL2_RNG2,,15T,M-L-1-15,8059,8,1Td,1TD,3,,,,,,,20,,14,,,-z down left 3,3,-z down left 2,2,12,brown-4,31/32,6,b,down center,1299,,,,,,
FPix_BmI_D1_BLD16_PNL2_RNG2,,16T,M-M-1-48,8053,7,1Td,1TD,5,,,,,,,21,,14,,,-z down left 3,2,-z down left 2,2,13,brown-4,7/8,7,a,down center,1300,,,,,,
FPix_BmI_D1_BLD17_PNL2_RNG2,,17T,M-L-4-18,8046,6,1Td,1TD,7,,,,,,,22,,14,,,-z down left 3,1,-z down left 2,2,14,brown-4,31/32,7,b,down center,1300,,,,,,
FPix_BmI_D1_BLD1_PNL1_RNG2,,1B,M-M-2-19,8003,5,1Ba,1BA,1,,,,,,,1,,8,,,-z up left 3,1,-z up left 2,2,1,blue-1,1/2,1,a,down center,1294,,,,,,
FPix_BmI_D1_BLD2_PNL1_RNG2,,2B,M-K-3-22,8002,4,1Ba,1BA,3,,,,,,,2,,8,,,-z up left 3,2,-z up left 2,2,2,blue-1,25/26,1,b,down center,1294,,,,,,
FPix_BmI_D1_BLD3_PNL1_RNG2,,3B,M-I-4-19,8043,3,1Ba,1BA,5,,,,,,,3,,8,,,-z up left 3,3,-z up left 2,2,3,blue-1,1/2,2,a,down center,1295,,,,,,
FPix_BmI_D1_BLD4_PNL1_RNG2,,4B,M-L-1-30,8009,2,1Ba,1BA,7,,,,,,,4,,8,,,-z up left 3,4,-z up left 2,2,4,blue-1,25/26,2,b,down center,1295,,,,,,
FPix_BmI_D1_BLD5_PNL1_RNG2,,5B,M-M-3-41,8039,6,1Bb,1BB,1,,,,,,,4,,8,,,-z up left 3,4,-z up left 2,2,4,green-3,29/30,2,b,down center,1295,,,,,,
FPix_BmI_D1_BLD6_PNL1_RNG2,,6B,M-L-4-22,8028,5,1Bb,1BB,3,,,,,,,5,,8,,,-z up left 4,1,-z up left 2,2,5,green-3,5/6,3,a,down center,1296,,,,,,
FPix_BmI_D1_BLD7_PNL1_RNG2,,7B,M-M-4-02,8034,4,1Bb,1BB,4,,,,,,,6,,8,,,-z up left 4,2,-z up left 2,2,6,blue-1,25/26,3,b,down center,1296,,,,,,
FPix_BmI_D1_BLD8_PNL1_RNG2,,8B,M-M-4-06,8038,3,1Bb,1BB,5,,,,,,,6,,8,,,-z up left 4,2,-z up left 2,2,6,green-3,29/30,3,b,down center,1296,,,,,,
FPix_BmI_D1_BLD9_PNL1_RNG2,,9B,M-L-3-24,8049,2,1Bb,1BB,7,,,,,,,7,,8,,,-z up left 4,3,-z up left 2,2,7,green-3,5/6,4,a,down center,1297,,,,,,
FPix_BmI_D1_BLD10_PNL1_RNG2,,10B,M-Y-J-NW,8037,5,1Bc,1BC,1,,,,,,,12,,14,,,-z down left 4,4,-z down left 2,2,8,blue-1,25/26,4,b,down center,1297,,,,,,
FPix_BmI_D1_BLD11_PNL1_RNG2,,11B,M-M-2-10,8036,4,1Bc,1BC,3,,,,,,,13,,14,,,-z down left 4,3,-z down left 2,2,9,blue-1,1/2,5,a,down center,1298,,,,,,
FPix_BmI_D1_BLD12_PNL1_RNG2,,12B,M-Y-M-NG,8040,3,1Bc,1BC,5,,,,,,,18,,14,,,-z down left 4,2,-z down left 2,2,10,blue-1,25/26,5,b,down center,1298,,,,,,
FPix_BmI_D1_BLD13_PNL1_RNG2,,13B,M-N-3-36,8048,2,1Bc,1BC,7,,,,,,,19,,14,,,-z down left 4,1,-z down left 2,2,11,blue-1,1/2,6,a,down center,1299,,,,,,
