Official name of position,internal disk name,internal naming per Disk,Module,flex cable,HubID,PC position phi,PC position Mirror,PC connection,PC identifier,PC name,DCDC,Filterboard DCS,Filterboard power,POH board,POH Bundle,POH SN,DOH bundle,DOH QR,DOH A/B,PP0 Adapter/FED,PP0 Ad.Slot/FED,PP0 Adapter/FEC,PP0 Ad.Slot/FEC,internal POH no,POH fiber color,FED channel,FED position,FED receiver,FED crate,FED ID,,,,,,
FPix_BmI_D2_BLD17_PNL1_RNG2,,17B,M-M-4-44,6196,2,2Bd,2BD,7,,,,,,,22,,15,,,-z down left 3,1,-z down left 2,3,14,red-7,35/36,7,b,down center,1300,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FPix_BmI_D3_BLD1_PNL2_RNG1,HC1-Disk3-Inner,1T,M-B-3-32,9067,15,3Ta,3TA,2,,,,,,,1,,10,,,-z up left 3,1,-z up left 2,4,1,turquoise-12,23/24,1,a,down center,1294,BmI,,,,,
FPix_BmI_D3_BLD2_PNL2_RNG1,,2T,M-B-7-10,9064,14,3Ta,3TA,4,,,,,,,2,,10,,,-z up left 3,2,-z up left 2,4,2,turquoise-12,47/48,1,b,down center,1294,,,,,,
FPix_BmI_D3_BLD3_PNL2_RNG1,,3T,M-G-1-04,9069,13,3Ta,3TA,6,,,,,,,3,,10,,,-z up left 3,3,-z up left 2,4,3,turquoise-12,23/24,2,a,down center,1295,,,,,,
FPix_BmI_D3_BLD4_PNL2_RNG1,,4T,M-G-1-24,9068,15,3Tb,3TB,2,,,,,,,5,,10,,,-z up left 4,1,-z up left 2,4,5,violet-10,19/20,3,a,down center,1296,,,,,,
FPix_BmI_D3_BLD5_PNL2_RNG1,,5T,M-G-1-28,9040,14,3Tb,3TB,6,,,,,,,7,,10,,,-z up left 4,3,-z up left 2,4,7,violet-10,19/20,4,a,down center,1297,,,,,,
FPix_BmI_D3_BLD6_PNL2_RNG1,,6T,M-G-1-31,9041,15,3Tc,3TC,2,,,,,,,12,,16,,,-z down left 4,4,-z down left 2,4,8,turquoise-12,47/48,4,b,down center,1297,,,,,,
FPix_BmI_D3_BLD7_PNL2_RNG1,,7T,M-G-1-49,9042,14,3Tc,3TC,4,,,,,,,13,,16,,,-z down left 4,3,-z down left 2,4,9,turquoise-12,23/24,5,a,down center,1298,,,,,,
FPix_BmI_D3_BLD8_PNL2_RNG1,,8T,M-G-2-01,9044,13,3Tc,3TC,6,,,,,,,18,,16,,,-z down left 4,2,-z down left 2,4,10,turquoise-12,47/48,5,b,down center,1298,,,,,,
FPix_BmI_D3_BLD9_PNL2_RNG1,,9T,M-G-2-02,9045,15,3Td,3TD,2,,,,,,,20,,16,,,-z down left 3,3,-z down left 2,4,12,violet-10,43/44,6,b,down center,1299,,,,,,
FPix_BmI_D3_BLD10_PNL2_RNG1,,10T,M-G-2-29,9047,14,3Td,3TD,4,,,,,,,21,,16,,,-z down left 3,2,-z down left 2,4,13,violet-10,19/20,7,a,down center,1300,,,,,,
FPix_BmI_D3_BLD11_PNL2_RNG1,,11T,M-G-2-30,9049,13,3Td,3TD,6,,,,,,,22,,16,,,-z down left 3,1,-z down left 2,4,14,violet-10,43/44,7,b,down center,1300,,,,,,
FPix_BmI_D3_BLD1_PNL1_RNG1,,1B,M-G-2-43,9060,12,3Ba,3BA,2,,,,,,,1,,10,,,-z up left 3,1,-z up left 2,4,1,pink-11,21/22,1,a,down center,1294,,,,,,
FPix_BmI_D3_BLD2_PNL1_RNG1,,2B,M-G-2-45,9056,11,3Ba,3BA,4,,,,,,,2,,10,,,-z up left 3,2,-z up left 2,4,2,pink-11,45/46,1,b,down center,1294,,,,,,
FPix_BmI_D3_BLD3_PNL1_RNG1,,3B,M-G-2-46,9058,10,3Ba,3BA,6,,,,,,,3,,10,,,-z up left 3,3,-z up left 2,4,3,pink-11,21/22,2,a,down center,1295,,,,,,
FPix_BmI_D3_BLD4_PNL1_RNG1,,4B,M-G-3-03,9046,13,3Bb,3BB,2,,,,,,,5,,10,,,-z up left 4,1,-z up left 2,4,5,yellow-9,17/18,3,a,down center,1296,,,,,,
FPix_BmI_D3_BLD5_PNL1_RNG1,,5B,M-G-3-24,9002,12,3Bb,3BB,6,,,,,,,7,,10,,,-z up left 4,3,-z up left 2,4,7,yellow-9,17/18,4,a,down center,1297,,,,,,
FPix_BmI_D3_BLD6_PNL1_RNG1,,6B,M-G-3-46,9023,12,3Bc,3BC,2,,,,,,,12,,16,,,-z down left 4,4,-z down left 2,4,8,pink-11,45/46,4,b,down center,1297,,,,,,
FPix_BmI_D3_BLD7_PNL1_RNG1,,7B,M-H-1-04,9018,11,3Bc,3BC,4,,,,,,,13,,16,,,-z down left 4,3,-z down left 2,4,9,pink-11,21/22,5,a,down center,1298,,,,,,
FPix_BmI_D3_BLD8_PNL1_RNG1,,8B,M-H-1-16,9007,10,3Bc,3BC,6,,,,,,,18,,16,,,-z down left 4,2,-z down left 2,4,10,pink-11,45/46,5,b,down center,1298,,,,,,
FPix_BmI_D3_BLD9_PNL1_RNG1,,9B,M-H-1-24,9031,12,3Bd,3BD,2,,,,,,,20,,16,,,-z down left 3,3,-z down left 2,4,12,yellow-9,41/42,6,b,down center,1299,,,,,,
FPix_BmI_D3_BLD10_PNL1_RNG1,,10B,M-H-1-25,9013,11,3Bd,3BD,4,,,,,,,21,,16,,,-z down left 3,2,-z down left 2,4,13,yellow-9,17/18,7,a,down center,1300,,,,,,
FPix_BmI_D3_BLD11_PNL1_RNG1,,11B,M-H-1-31,9037,10,3Bd,3BD,6,,,,,,,22,,16,,,-z down left 3,1,-z down left 2,4,14,yellow-9,41/42,7,b,down center,1300,,,,,,
FPix_BmI_D3_BLD1_PNL2_RNG2,HC1-Disk3-Outer,1T,M-L-3-01,7090,9,3Ta,3TA,1,,,,,,,1,,10,,,-z up left 3,1,-z up left 2,4,1,violet-10,19/20,1,a,down center,1294,BmI,,,,,
FPix_BmI_D3_BLD2_PNL2_RNG2,,2T,M-Y-H-NY,7072,8,3Ta,3TA,3,,,,,,,2,,10,,,-z up left 3,2,-z up left 2,4,2,violet-10,43/44,1,b,down center,1294,,,,,,
FPix_BmI_D3_BLD3_PNL2_RNG2,,3T,M-L-3-23,7039,7,3Ta,3TA,5,,,,,,,3,,10,,,-z up left 3,3,-z up left 2,4,3,violet-10,19/20,2,a,down center,1295,,,,,,
FPix_BmI_D3_BLD4_PNL2_RNG2,,4T,M-N-3-50,7035,6,3Ta,3TA,7,,,,,,,4,,10,,,-z up left 3,4,-z up left 2,4,4,violet-10,43/44,2,b,down center,1295,,,,,,
FPix_BmI_D3_BLD5_PNL2_RNG2,,5T,M-M-3-02,7046,11,3Tb,3TB,1,,,,,,,4,,10,,,-z up left 3,4,-z up left 2,4,4,turquoise-12,47/48,2,b,down center,1295,,,,,,
FPix_BmI_D3_BLD6_PNL2_RNG2,,6T,M-N-3-15,8045,10,3Tb,3TB,3,,,,,,,5,,10,,,-z up left 4,1,-z up left 2,4,5,turquoise-12,23/24,3,a,down center,1296,,,,,,
FPix_BmI_D3_BLD7_PNL2_RNG2,,7T,M-H-1-27,7059,9,3Tb,3TB,4,,,,,,,6,,10,,,-z up left 4,2,-z up left 2,4,6,violet-10,43/44,3,b,down center,1296,,,,,,
FPix_BmI_D3_BLD8_PNL2_RNG2,,8T,M-H-2-07,7082,8,3Tb,3TB,5,,,,,,,6,,10,,,-z up left 4,2,-z up left 2,4,6,turquoise-12,47/48,3,b,down center,1296,,,,,,
FPix_BmI_D3_BLD9_PNL2_RNG2,,9T,M-H-2-27,7079,7,3Tb,3TB,7,,,,,,,7,,10,,,-z up left 4,3,-z up left 2,4,7,turquoise-12,23/24,4,a,down center,1297,,,,,,
FPix_BmI_D3_BLD10_PNL2_RNG2,,10T,M-H-2-32,7096,9,3Tc,3TC,1,,,,,,,12,,16,,,-z down left 4,4,-z down left 2,4,8,violet-10,43/44,4,b,down center,1297,,,,,,
FPix_BmI_D3_BLD11_PNL2_RNG2,,11T,M-I-3-25,8047,8,3Tc,3TC,3,,,,,,,13,,16,,,-z down left 4,3,-z down left 2,4,9,violet-10,19/20,5,a,down center,1298,,,,,,
FPix_BmI_D3_BLD12_PNL2_RNG2,,12T,M-J-3-47,7083,7,3Tc,3TC,5,,,,,,,18,,16,,,-z down left 4,2,-z down left 2,4,10,violet-10,43/44,5,b,down center,1298,,,,,,
FPix_BmI_D3_BLD13_PNL2_RNG2,,13T,M-K-2-34,7047,6,3Tc,3TC,7,,,,,,,19,,16,,,-z down left 4,1,-z down left 2,4,11,violet-10,19/20,6,a,down center,1299,,,,,,
FPix_BmI_D3_BLD14_PNL2_RNG2,,14T,M-I-2-44,7084,9,3Td,3TD,1,,,,,,,19,,16,,,-z down left 4,1,-z down left 2,4,11,turquoise-12,23/24,6,a,down center,1299,,,,,,
FPix_BmI_D3_BLD15_PNL2_RNG2,,15T,M-L-2-11,7076,8,3Td,3TD,3,,,,,,,20,,16,,,-z down left 3,3,-z down left 2,4,12,turquoise-12,47/48,6,b,down center,1299,,,,,,
FPix_BmI_D3_BLD16_PNL2_RNG2,,16T,M-K-3-18,7080,7,3Td,3TD,5,,,,,,,21,,16,,,-z down left 3,2,-z down left 2,4,13,turquoise-12,23/24,7,a,down center,1300,,,,,,
FPix_BmI_D3_BLD17_PNL2_RNG2,,17T,M-L-3-14,7081,6,3Td,3TD,7,,,,,,,22,,16,,,-z down left 3,1,-z down left 2,4,14,turquoise-12,47/48,7,b,down center,1300,,,,,,
FPix_BmI_D3_BLD1_PNL1_RNG2,,1B,M-I-4-13,7085,5,3Ba,3BA,1,,,,,,,1,,10,,,-z up left 3,1,-z up left 2,4,1,yellow-9,17/18,1,a,down center,1294,,,,,,
FPix_BmI_D3_BLD2_PNL1_RNG2,,2B,M-L-1-14,7089,4,3Ba,3BA,3,,,,,,,2,,10,,,-z up left 3,2,-z up left 2,4,2,yellow-9,41/42,1,b,down center,1294,,,,,,
FPix_BmI_D3_BLD3_PNL1_RNG2,,3B,M-M-3-12,7077,3,3Ba,3BA,5,,,,,,,3,,10,,,-z up left 3,3,-z up left 2,4,3,yellow-9,17/18,2,a,down center,1295,,,,,,
FPix_BmI_D3_BLD4_PNL1_RNG2,,4B,M-K-2-03,9022,2,3Ba,3BA,7,,,,,,,4,,10,,,-z up left 3,4,-z up left 2,4,4,yellow-9,41/42,2,b,down center,1295,,,,,,
FPix_BmI_D3_BLD5_PNL1_RNG2,,5B,M-M-3-08,7078,6,3Bb,3BB,1,,,,,,,4,,10,,,-z up left 3,4,-z up left 2,4,4,pink-11,45/46,2,b,down center,1295,,,,,,
FPix_BmI_D3_BLD6_PNL1_RNG2,,6B,M-N-3-04,7098,5,3Bb,3BB,3,,,,,,,5,,10,,,-z up left 4,1,-z up left 2,4,5,pink-11,21/22,3,a,down center,1296,,,,,,
FPix_BmI_D3_BLD7_PNL1_RNG2,,7B,M-M-2-30,7099,4,3Bb,3BB,4,,,,,,,6,,10,,,-z up left 4,2,-z up left 2,4,6,yellow-9,41/42,3,b,down center,1296,,,,,,
FPix_BmI_D3_BLD8_PNL1_RNG2,,8B,M-M-4-43,7092,3,3Bb,3BB,5,,,,,,,6,,10,,,-z up left 4,2,-z up left 2,4,6,pink-11,45/46,3,b,down center,1296,,,,,,
FPix_BmI_D3_BLD9_PNL1_RNG2,,9B,M-N-3-38,7055,2,3Bb,3BB,7,,,,,,,7,,10,,,-z up left 4,3,-z up left 2,4,7,pink-11,21/22,4,a,down center,1297,,,,,,
FPix_BmI_D3_BLD10_PNL1_RNG2,,10B,M-M-3-16,7086,5,3Bc,3BC,1,,,,,,,12,,16,,,-z down left 4,4,-z down left 2,4,8,yellow-9,41/42,4,b,down center,1297,,,,,,
FPix_BmI_D3_BLD11_PNL1_RNG2,,11B,M-N-3-27,7097,4,3Bc,3BC,3,,,,,,,13,,16,,,-z down left 4,3,-z down left 2,4,9,yellow-9,17/18,5,a,down center,1298,,,,,,
FPix_BmI_D3_BLD12_PNL1_RNG2,,12B,M-Y-J-NX,8000,3,3Bc,3BC,5,,,,,,,18,,16,,,-z down left 4,2,-z down left 2,4,10,yellow-9,41/42,5,b,down center,1298,,,,,,
FPix_BmI_D3_BLD13_PNL1_RNG2,,13B,M-Y-H-NW,7094,2,3Bc,3BC,7,,,,,,,19,,16,,,-z down left 4,1,-z down left 2,4,11,yellow-9,17/18,6,a,down center,1299,,,,,,
FPix_BmI_D3_BLD14_PNL1_RNG2,,14B,M-N-2-34,7093,5,3Bd,3BD,1,,,,,,,19,,16,,,-z down left 4,1,-z down left 2,4,11,pink-11,21/22,6,a,down center,1299,,,,,,
FPix_BmI_D3_BLD15_PNL1_RNG2,,15B,M-Y-P-NE,7091,4,3Bd,3BD,3,,,,,,,20,,16,,,-z down left 3,3,-z down left 2,4,12,pink-11,45/46,6,b,down center,1299,,,,,,
FPix_BmI_D3_BLD16_PNL1_RNG2,,16B,M-Y-H-NP,7088,3,3Bd,3BD,5,,,,,,,21,,16,,,-z down left 3,2,-z down left 2,4,13,pink-11,21/22,7,a,down center,1300,,,,,,
FPix_BmI_D3_BLD17_PNL1_RNG2,,17B,M-Y-K-NA,7087,2,3Bd,3BD,7,,,,,,,22,,16,,,-z down left 3,1,-z down left 2,4,14,pink-11,45/46,7,b,down center,1300,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,17,,,CCU+tFEC,,-z up left 1,1,,,,,,,,,,,,,
